Existing name,New name
"Abkhazian constitutional referendum, 1999",1999 Abkhazian constitutional referendum
"Abkhazian early presidential elections referendum, 2016",2016 Abkhazian early presidential elections referendum
"Abkhazian New Union Treaty referendum, 1991",1991 Abkhazian New Union Treaty referendum
"Abolitionist Party of Canada candidates, 1993 Canadian federal election",Abolitionist Party of Canada candidates in the 1993 Canadian federal election
"Adam Kokesh presidential campaign, 2020",2020 Adam Kokesh presidential campaign
"Afars and Issas independence referendum, 1977",1977 Afars and Issas independence referendum
"Akbar Hashemi Rafsanjani presidential campaign, 2013",2013 Akbar Hashemi Rafsanjani presidential campaign
"Al Gore presidential campaign, 1988",1988 Al Gore presidential campaign
"Al Gore presidential campaign, 2000",2000 Al Gore presidential campaign
"Al Smith presidential campaign, 1924",1924 Al Smith presidential campaign
"Al Smith presidential campaign, 1928",1928 Al Smith presidential campaign
"Al Smith presidential campaign, 1932",1932 Al Smith presidential campaign
"Alabama Democratic primary, 2004",2004 Alabama Democratic primary
"Alabama Democratic primary, 2008",2008 Alabama Democratic primary
"Alabama Democratic primary, 2012",2012 Alabama Democratic primary
"Alabama Democratic primary, 2016",2016 Alabama Democratic primary
"Alabama Republican primary, 2008",2008 Alabama Republican primary
"Alabama Republican primary, 2012",2012 Alabama Republican primary
"Alan Keyes presidential campaign, 2000",2000 Alan Keyes presidential campaign
"Alan Keyes presidential campaign, 2008",2008 Alan Keyes presidential campaign
"Ålandic European Union membership referendum, 1994",1994 Ålandic European Union membership referendum
"Ålandic status referendum, 1919",1919 Ålandic status referendum
"Alaska Democratic caucuses, 2008",2008 Alaska Democratic caucuses
"Alaska Democratic caucuses, 2012",2012 Alaska Democratic caucuses
"Alaska Democratic caucuses, 2016",2016 Alaska Democratic caucuses
"Alaska Republican caucuses, 2008",2008 Alaska Republican caucuses
"Alaska Republican caucuses, 2012",2012 Alaska Republican caucuses
"Albanian constitutional referendum, 1994",1994 Albanian constitutional referendum
"Albanian constitutional referendum, 1998",1998 Albanian constitutional referendum
"Albanian monarchy referendum, 1997",1997 Albanian monarchy referendum
"Alberta Liberal Party candidates, 2012 Alberta provincial election",Alberta Liberal Party candidates in the 2012 Alberta provincial election
"Alberta liquor plebiscite, 1915",1915 Alberta liquor plebiscite
"Alberta liquor plebiscite, 1957",1957 Alberta liquor plebiscite
"Alberta New Democratic Party candidates, 2012 Alberta provincial election",Alberta New Democratic Party candidates in the 2012 Alberta provincial election
"Alberta Party candidates, 2012 Alberta provincial election",Alberta Party candidates in the 2012 Alberta provincial election
"Alberta prohibition plebiscite, 1923",1923 Alberta prohibition plebiscite
"Alderney referendum, 2003",2003 Alderney referendum
"Alexander Lebed presidential campaign, 1996",1996 Alexander Lebed presidential campaign
"Alexei Navalny mayoral campaign, 2013",2013 Alexei Navalny mayoral campaign
"Alexei Navalny presidential campaign, 2018",2018 Alexei Navalny presidential campaign
"Algerian Civil Concord referendum, 1999",1999 Algerian Civil Concord referendum
"Algerian constitutional referendum, 1963",1963 Algerian constitutional referendum
"Algerian constitutional referendum, 1976",1976 Algerian constitutional referendum
"Algerian constitutional referendum, 1988",1988 Algerian constitutional referendum
"Algerian constitutional referendum, 1989",1989 Algerian constitutional referendum
"Algerian constitutional referendum, 1996",1996 Algerian constitutional referendum
"Algerian independence referendum, 1962",1962 Algerian independence referendum
"Algerian National Charter referendum, 1976",1976 Algerian National Charter referendum
"Algerian National Charter referendum, 1986",1986 Algerian National Charter referendum
"Algerian national reconciliation referendum, 2005",2005 Algerian national reconciliation referendum
"Alsace single territorial collectivity referendum, 2014",2014 Alsace single territorial collectivity referendum
"Alton Parker presidential campaign, 1904",1904 Alton Parker presidential campaign
"American Samoa Democratic caucus, 2016",2016 American Samoa Democratic caucus
"American Samoa Democratic caucuses, 2008",2008 American Samoa Democratic caucuses
"American Samoa Republican caucus, 2016",2016 American Samoa Republican caucus
"American Samoa Republican caucuses, 2008",2008 American Samoa Republican caucuses
"American Samoa Republican caucuses, 2012",2012 American Samoa Republican caucuses
"American Samoan constitutional referendum, 1966",1966 American Samoan constitutional referendum
"American Samoan constitutional referendum, 1976",1976 American Samoan constitutional referendum
"American Samoan constitutional referendum, 1986",1986 American Samoan constitutional referendum
"American Samoan constitutional referendum, 2010",2010 American Samoan constitutional referendum
"American Samoan constitutional referendum, 2014",2014 American Samoan constitutional referendum
"American Samoan electoral referendum, 1972",1972 American Samoan electoral referendum
"American Samoan electoral referendum, 1973",1973 American Samoan electoral referendum
"American Samoan electoral referendum, 1974",1974 American Samoan electoral referendum
"American Samoan electoral referendum, 1976",1976 American Samoan electoral referendum
"American Samoan gubernatorial veto referendum, 1990",1990 American Samoan gubernatorial veto referendum
"American Samoan referendum, 2008",2008 American Samoan referendum
"Andalusian constitutional referendum, 2007",2007 Andalusian constitutional referendum
"Andorran constitutional referendum, 1993",1993 Andorran constitutional referendum
"Andorran electoral system referendum, 1982",1982 Andorran electoral system referendum
"Andorran political reform referendum, 1977",1977 Andorran political reform referendum
"Andorran political reform referendum, 1978",1978 Andorran political reform referendum
"Anguillan constitutional referendum, 1969",1969 Anguillan constitutional referendum
"Anguillan separation referendum, 1967",1967 Anguillan separation referendum
"Animal Alliance Environment Voters Party of Canada candidates, 2011 Canadian federal election",Animal Alliance Environment Voters Party of Canada candidates in the 2011 Canadian federal election
"Anjouan independence referendum, 1997",1997 Anjouan independence referendum
"Antiguan constitutional referendum, 2018",2018 Antiguan constitutional referendum
"Aquino–Binay Campaign, 2010",2010 Aquino–Binay Campaign
"Argentine Beagle conflict dispute resolution referendum, 1984",1984 Argentine Beagle conflict dispute resolution referendum
"Argentine general election, March 1973",March 1973 Argentine general election
"Argentine general election, September 1973",September 1973 Argentine general election
"Argentine presidential elections, 1862–1910",1862–1910 Argentine presidential elections
"Arizona Democratic primary, 2004",2004 Arizona Democratic primary
"Arizona Democratic primary, 2008",2008 Arizona Democratic primary
"Arizona Democratic primary, 2012",2012 Arizona Democratic primary
"Arizona Democratic primary, 2016",2016 Arizona Democratic primary
"Arizona presidential primary, 2016",2016 Arizona presidential primary
Arizona Proposition 100 (2010),2010 Arizona Proposition 100
Arizona Proposition 102 (2008),2008 Arizona Proposition 102
Arizona Proposition 107 (2006),2006 Arizona Proposition 107
Arizona Proposition 200 (2004),2004 Arizona Proposition 200
Arizona Proposition 203 (2010),2010 Arizona Proposition 203
Arizona Proposition 207 (2006),2006 Arizona Proposition 207
"Arizona Republican primary, 2008",2008 Arizona Republican primary
"Arizona Republican primary, 2016",2016 Arizona Republican primary
"Arkansas Democratic primary, 2008",2008 Arkansas Democratic primary
"Arkansas Democratic primary, 2012",2012 Arkansas Democratic primary
"Arkansas Democratic primary, 2016",2016 Arkansas Democratic primary
"Arkansas Republican primary, 2008",2008 Arkansas Republican primary
"Arkansas Republican primary, 2016",2016 Arkansas Republican primary
"Armenian constitutional referendum, 1995",1995 Armenian constitutional referendum
"Armenian constitutional referendum, 2003",2003 Armenian constitutional referendum
"Armenian constitutional referendum, 2005",2005 Armenian constitutional referendum
"Armenian constitutional referendum, 2015",2015 Armenian constitutional referendum
"Armenian independence referendum, 1991",1991 Armenian independence referendum
"Aruban independence referendum, 1977",1977 Aruban independence referendum
Arutanga by-election 2003,2003 Arutanga by-election
"Austin Petersen presidential campaign, 2016",2016 Austin Petersen presidential campaign
"Australian Capital Territory electoral system referendum, 1992",1992 Australian Capital Territory electoral system referendum
"Australian Communist Party ban referendum, 1951",1951 Australian Communist Party ban referendum
"Australian conscription referendum, 1916",1916 Australian conscription referendum
"Australian conscription referendum, 1917",1917 Australian conscription referendum
"Australian constitutional referendums, 1898–1900",1898–1900 Australian constitutional referendums
"Australian federal election debates and forums, 2016",2016 Australian federal election debates and forums
"Australian Labor Party (NSW Branch) leadership spill, 2015",2015 Australian Labor Party (NSW Branch) leadership spill
"Australian Labor Party leadership election, October 2013",October 2013 Australian Labor Party leadership election
"Australian Labor Party leadership spill, 1913",1913 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1931",1931 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1976",1976 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1977",1977 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1982",1982 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 1983",1983 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2005",2005 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2006",2006 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2010",2010 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, 2012",2012 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, June 2013",June 2013 Australian Labor Party leadership spill
"Australian Labor Party leadership spill, March 2013",March 2013 Australian Labor Party leadership spill
"Australian Labor Party leadership spills, 2003",2003 Australian Labor Party leadership spills
"Australian plebiscite, 1977 (National Song)",1977 Australian plebiscite (National Song)
"Australian Post-War Reconstruction and Democratic Rights referendum, 1944",1944 Australian Post-War Reconstruction and Democratic Rights referendum
"Australian referendum, 1910",1910 Australian referendum
"Australian referendum, 1910 (State Debts)",1910 Australian referendum (State Debts)
"Australian referendum, 1910 (Surplus Revenue)",1910 Australian referendum (Surplus Revenue)
"Australian referendum, 1911",1911 Australian referendum
"Australian referendum, 1911 (Monopolies)",1911 Australian referendum (Monopolies)
"Australian referendum, 1911 (Trade and Commerce)",1911 Australian referendum (Trade and Commerce)
"Australian referendum, 1913",1913 Australian referendum
